序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,2连板日期
141,002820,桂发祥,10.040567398071289,10.85,465511792,2171714365.1,2179421000.75,23.180789947509766,35068719,135333,135333,0,2/2,2,食品饮料,20241125
18,603803,瑞斯康达,10.049627304077148,8.87,34241367,3768717150.5899997,3807297206.72,0.9085682034492493,133426469,092503,092503,0,2/2,2,通信设备,20241126
35,301011,华立科技,19.984357833862305,30.68,572426896,4412042877.84,4500510560.0,13.493571281433105,54770058,093548,093651,1,2/2,2,专用设备,20241126
74,600628,新世界,9.973404884338379,8.27,439753904,5349659425.679999,5349659491.84,8.731042861938477,29952848,112409,112409,0,2/2,2,商业百货,20241126
4,000753,漳州发展,10.1010103225708,4.36,896879312,4322857469.56,4322857473.92,20.85454559326172,43048817,092500,134751,11,2/2,2,汽车服务,20241127
10,603660,苏州科达,10.059880256652832,9.19,500895616,4542899188.139999,4622710717.28,11.03604793548584,213360259,093001,093001,0,2/2,2,计算机设,20241127
11,600327,大东方,10.0,6.6,356634640,5839544818.799999,5839544832.0,6.107271671295166,303397452,093002,093002,0,8/6,2,医疗服务,20241127
30,605199,葫芦娃,10.0,15.62,532186256,6249698706.24,6249698706.24,8.7750244140625,5253006,095609,145633,2,2/2,2,中药,20241127
40,000712,锦龙股份,9.986504554748535,16.3,1754401376,14590977192.5,14604800000.0,12.573402404785156,152639720,101424,101424,0,2/2,2,证券,20241127
44,002301,齐心集团,10.014727592468262,7.47,508779056,5363386965.809999,5388170281.92,10.059348106384277,82673537,102524,102524,0,2/2,2,家用轻工,20241127
86,605179,一鸣食品,9.982014656066895,12.23,398249744,4904230000.0,4904230000.0,8.62104320526123,17004592,134636,142033,4,2/2,2,食品饮料,20241127
4,001209,洪兴股份,9.987592697143555,17.73,16517162,714303740.07,2331897825.6,2.3123443126678467,132450298,092500,092500,0,2/2,2,纺织服装,20241128
12,002593,日上集团,10.0,4.07,211009726,2321807950.88,3271702190.2400002,9.120680809020996,64711225,093009,093009,0,2/2,2,汽车零部,20241128
17,301066,万事利,19.97105598449707,16.58,422671856,3130208018.3799996,3130969885.9599996,13.696294784545898,48554198,093027,093224,2,2/2,2,纺织服装,20241128
18,002131,利欧股份,9.86842155456543,3.34,5801659648,19543130684.88,22616828062.719997,30.09332275390625,217185691,093033,102615,7,10/5,2,互联网服,20241128
21,002995,天地在线,10.013531684875488,24.39,1118498688,2741855703.12,4328114767.2,41.3428955078125,1984077,093051,141533,10,2/2,2,文化传媒,20241128
