序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,2连板日期
32,600228,返利科技,10.0130033493042,8.46,217962253,3525022777.1400003,3547044368.6400003,6.305689334869385,109730430,093025,093025,0,9/5,2,互联网服,20241125
43,002640,跨境通,10.05747127532959,3.83,1069726208,5465019198.29,5967298286.24,19.95572853088379,183792508,093203,093545,2,2/2,2,贸易行业,20241125
48,603585,苏利股份,10.029282569885254,15.03,294180528,2705434418.7,2763299918.7,11.245962142944336,12895439,093302,141920,5,2/2,2,农药兽药,20241125
53,000803,山高环能,10.05385971069336,6.13,492986096,2812224680.86,2887158303.52,17.810291290283203,24868012,093336,101321,16,2/2,2,综合行业,20241125
54,603026,石大胜华,9.99526309967041,46.44,1423647168,9412459200.0,9412459200.0,15.369043350219727,26669377,093345,140333,4,2/2,2,化学制品,20241125
55,603843,正平股份,10.031347274780273,3.51,493766848,2455677561.87,2455677544.3199997,20.910354614257812,4186710,093441,144914,3,2/2,2,工程建设,20241125
56,003005,竞业达,10.01579761505127,34.82,724295968,2570450075.2400002,5167288000.0,28.786922454833984,17705970,093448,104203,5,2/2,2,互联网服,20241125
79,600333,长春燃气,9.967845916748047,6.84,587283456,4165769878.56,4165769905.92,14.684074401855469,43235256,100109,100136,1,2/2,2,燃气,20241125
87,002045,国光电器,10.017498016357422,25.15,6211866368,14130096982.3,14146450870.4,46.59743881225586,87236547,101530,144754,5,7/6,2,消费电子,20241125
117,300220,金运激光,19.973190307617188,17.9,687103872,2703246329.2,2706480000.0,27.842140197753906,38874128,111751,111751,0,2/2,2,电子元件,20241125
130,002877,智能自控,10.033822059631348,9.76,721572528,2284385232.64,3450020549.12,33.03774642944336,10335840,131921,142415,7,2/2,2,仪器仪表,20241125
139,002658,雪迪龙,10.013908386230469,7.91,501830672,2837042119.59,5028868940.4800005,18.7303524017334,2182305,133309,143421,7,2/2,2,仪器仪表,20241125
149,002638,勤上股份,9.960159301757812,2.76,412950208,3717878034.8399997,3965000411.5199995,12.232260704040527,42608029,144348,144348,0,2/2,2,光学光电,20241125
154,603655,朗博科技,9.98719596862793,25.77,193089991,2731620000.0,2731620000.0,7.599056720733643,15732585,145030,145257,1,2/2,2,汽车零部,20241125
7,002076,星光股份,9.871244430541992,2.56,51589670,2645123148.8,2839358709.76,1.9503693580627441,121227258,092500,092500,0,2/2,2,家电行业,20241126
8,002348,高乐股份,10.123456954956055,4.46,51625838,3964836746.54,4224512000.0,1.302092432975769,221923802,092500,092500,0,5/3,2,家用轻工,20241126
9,002069,獐子岛,10.027854919433594,3.95,93322680,2805353966.3,2808893158.4,3.3335938453674316,22439665,092500,093106,1,2/2,2,农牧饲渔,20241126
12,600960,渤海汽车,9.950248718261719,4.42,220605427,4201278589.56,4201278598.4,5.260240077972412,59640386,092501,093046,1,5/3,2,汽车零部,20241126
17,600250,南京商旅,9.980988502502441,11.57,17504253,3287292002.8,3593571099.04,0.5324824452400208,144673594,092503,092503,0,2/2,2,贸易行业,20241126
19,603906,龙蟠科技,9.990999221801758,12.22,64817471,6905264194.660001,8127264109.120001,0.9386674761772156,274552703,092503,092503,0,2/2,2,电池,20241126
20,603716,塞力医疗,9.966776847839355,9.93,578025984,1896493502.22,1896493502.22,31.1862850189209,23522184,092503,111351,2,2/2,2,医药商业,20241126
27,600249,两面针,9.925093650817871,5.87,156144562,3228500000.0,3228500000.0,4.855080604553223,64245389,093122,093122,0,2/2,2,美容护理,20241126
31,002292,奥飞娱乐,10.011919021606445,9.23,1616042288,9394886972.12,13648398194.08,17.374313354492188,115044418,093342,093342,0,2/2,2,文化传媒,20241126
32,002181,粤 传 媒,10.020039558410645,5.49,279453664,6228198971.280001,6374209386.24,4.607177257537842,70908856,093427,093427,0,5/3,2,文化传媒,20241126
44,002580,圣阳股份,9.978070259094238,10.03,1062922448,4536958164.0,4552305989.759999,23.924020767211914,105472440,094209,101954,2,2/2,2,电池,20241126
46,000953,河化股份,10.017889022827148,6.15,288949904,2251651499.25,2251651480.8,13.099257469177246,29149770,094333,095924,1,2/2,2,化学制药,20241126
50,002321,华英农业,10.041841506958008,2.63,235554179,5586677780.92,5609500868.32,4.359453201293945,21223955,094433,094433,0,2/2,2,农牧饲渔,20241126
80,003041,真爱美家,10.011507987976074,19.12,282450128,2616063408.0,2753280000.0,11.384002685546875,36152707,132515,133524,1,4/3,2,纺织服装,20241126
84,600193,创兴资源,9.921670913696289,4.21,322528416,1790820330.0,1790820363.68,18.904804229736328,5334735,140721,145015,1,2/2,2,装修装饰,20241126
92,600593,大连圣亚,9.996743202209473,33.78,572889440,4350864000.0,4350864000.0,14.197468757629395,21187491,145218,145218,0,2/2,2,旅游酒店,20241126
15,002718,友邦吊顶,10.0,17.05,126912807,1111797354.8,2241185484.4500003,11.761574745178223,117991115,093048,093048,0,2/2,2,装修建材,20241127
23,600776,东方通信,10.015527725219727,14.17,1696823040,13546520906.88,17797520906.88,13.020630836486816,103374797,094100,112827,1,2/2,2,通信设备,20241127
74,603516,淳中科技,9.990596771240234,46.79,826327376,9444176839.41,9444176839.41,9.304340362548828,63850382,130012,130109,1,2/2,2,计算机设,20241127
79,831855,浙江大农,30.000001907348633,27.04,307319264,715596294.4,2020789324.32,50.94548034667969,18820407,131031,131149,1,2/2,2,通用设备,20241127
5,002137,实益达,9.943977355957031,7.85,64799662,3112202804.6,4533413056.8,2.082115650177002,129663073,092500,092500,0,2/2,2,电子元件,20241128
13,000962,东方钽业,10.032573699951172,16.89,1019818112,8371563935.22,8528913843.84,12.26547908782959,30712776,093009,094733,9,2/2,2,小金属,20241128
14,001308,康冠科技,9.984338760375977,28.09,284062960,2169777190.31,19298865060.32,13.1021146774292,77252191,093012,093012,0,2/2,2,消费电子,20241128
16,603256,宏和科技,10.022026062011719,9.99,101240677,8788477725.0,8788477764.960001,1.161007285118103,55029915,093025,093025,0,2/2,2,玻璃玻纤,20241128
33,600120,浙江东方,10.079051971435547,5.57,1231004256,19023674910.440002,19023674888.16,6.565011501312256,75718329,093553,101556,2,2/2,2,多元金融,20241128
34,000421,南京公用,9.943181991577148,7.74,637763024,4444791239.16,4458712078.08,14.56126880645752,39121497,093557,094721,4,4/3,2,燃气,20241128
39,603213,镇洋发展,10.040567398071289,10.85,286464704,4717596068.849999,4717596144.8,6.194162368774414,12730163,093748,101451,6,2/2,2,化学原料,20241128
40,002187,广百股份,10.064934730529785,6.78,256494911,3506012349.48,4773383931.84,7.603880405426025,35897388,094227,094227,0,2/2,2,商业百货,20241128
43,002006,精工科技,10.023175239562988,18.99,1491904352,8643488400.0,8643488400.0,17.55392837524414,24026148,094330,141206,3,8/5,2,专用设备,20241128
49,003016,欣贺股份,9.966405868530273,9.82,335575712,4190984873.34,4208082269.12,8.339823722839355,150845373,094733,094821,1,2/2,2,纺织服装,20241128
59,002329,皇氏集团,9.948979377746582,4.31,834687632,2840555651.16,3745602603.68,30.403432846069336,8616552,100539,145448,5,2/2,2,食品饮料,20241128
19,600787,中储股份,9.975062370300293,8.82,2512905504,19140101913.24,19183081720.32,13.40886116027832,121811044,093103,111421,5,4/3,2,物流行业,20241129
23,605300,佳禾食品,10.034364700317383,16.01,185391231,6404160100.000001,6404160100.000001,2.9278504848480225,29349548,093126,093320,2,4/3,2,食品饮料,20241129
50,603096,新经典,9.985243797302246,22.36,393439456,3448686192.64,3448686192.64,11.748443603515625,12872652,095202,105359,5,2/2,2,文化传媒,20241129
58,300211,亿通科技,19.954389572143555,10.52,574386192,3140028788.48,3197340738.56,19.958316802978516,56689292,101351,102706,1,2/2,2,通信服务,20241129
77,600601,方正科技,9.97624683380127,4.63,2334837216,19308457918.81,19308457886.399998,12.686739921569824,80688399,105940,105940,0,2/2,2,电子元件,20241129
121,000925,众合科技,9.98796558380127,9.14,1135721728,4973680000.280001,6198813369.280001,24.230207443237305,22245297,140406,140600,1,2/2,2,交运设备,20241129
128,603029,天鹅股份,9.994508743286133,20.03,530088640,2430480260.0,2430480260.0,22.544065475463867,16765510,143800,143800,0,2/2,2,专用设备,20241129
11,002774,快意电梯,10.050251007080078,8.76,17344800,2468322150.6,2949386039.04,0.7026959657669067,164026620,092500,092500,0,2/2,2,专用设备,20241202
14,003041,真爱美家,10.0,22.0,15548192,3010114800.0,3168000000.0,0.5165315270423889,133820808,092500,092500,0,8/5,2,纺织服装,20241202
25,002029,七 匹 狼,10.069930076599121,7.87,173097898,5236744897.33,5548535228.32,3.3805091381073,106317773,093036,093036,0,2/2,2,纺织服装,20241202
30,601933,永辉超市,9.920635223388672,5.54,1391919680,50275704941.22,50275704581.12,2.7989890575408936,389346718,093056,093353,1,2/2,2,商业百货,20241202
32,600540,新赛股份,10.021322250366211,5.16,325197536,2999905113.6,2999905113.6,10.942296028137207,48025038,093059,093656,3,2/2,2,农牧饲渔,20241202
33,600292,远达环保,10.0,17.05,582114352,13312927974.5,13312928076.800001,4.4747314453125,168407112,093100,093142,1,30/15,2,环保行业,20241202
35,601086,国芳集团,10.055866241455078,5.91,417919824,3936060000.0,3936060000.0,10.940312385559082,20036082,093107,101322,2,2/2,2,商业百货,20241202
46,300276,三丰智能,20.028820037841797,8.33,2280927456,8503013450.26,11670688123.36,27.33479118347168,179716193,093251,094554,4,2/2,2,专用设备,20241202
52,002403,爱仕达,9.98542308807373,15.09,628008992,4484166340.86,5140236111.84,14.363813400268555,52723705,093400,094503,4,21/11,2,家电行业,20241202
53,603586,金麒麟,9.975062370300293,17.64,607923344,3458371039.2000003,3458371039.2000003,18.092639923095703,10122043,093402,142756,4,2/2,2,汽车零部,20241202
58,002779,中坚科技,9.993573188781738,68.46,969603216,8108027581.499999,9036720000.0,12.129718780517578,17140672,093448,130000,16,6/3,2,专用设备,20241202
90,002127,南极电商,10.085836410522461,5.13,2329554896,10232832530.61,12593485152.0,23.275836944580078,14752341,094636,143436,16,9/6,2,贸易行业,20241202
94,871478,巨能股份,29.983579635620117,39.58,471261056,910340000.0,3027042659.2599998,56.164031982421875,33052110,094934,101052,5,2/2,2,专用设备,20241202
96,605388,均瑶健康,9.970674514770508,7.5,310699408,4503630000.0,4503630000.0,7.060003280639648,15199987,095110,095719,4,2/2,2,食品饮料,20241202
97,002878,元隆雅图,9.987592697143555,17.73,1072577696,4142158874.46,4627498564.71,26.628385543823242,44209737,095139,133148,2,2/2,2,文化传媒,20241202
105,002400,省广集团,10.04672908782959,9.42,6036822528,16260470701.56,16422235821.119999,38.19660949707031,12443820,100439,144700,14,2/2,2,文化传媒,20241202
134,300997,欢乐家,19.9891357421875,22.09,861518640,8748386222.289999,9885275000.0,10.615520477294922,7579079,111215,143603,17,2/2,2,食品饮料,20241202
160,002848,高斯贝尔,10.02759838104248,11.96,441913280,1953869391.7600002,1999114000.0000002,24.928945541381836,39708838,142651,142651,0,2/2,2,家电行业,20241202
